,horizon,mse,rmse,mae,mape,coverage
1436,62 days 00:00:00.000000000,2442.368405570014,49.42032381085755,35.796590004626616,0.062477143850308885,0.5843621399176955
40,62 days 00:00:00.000000000,2452.172767659918,49.51941808684668,35.99546205582414,0.06299191223166375,0.5802469135802469
737,62 days 00:00:00.000000000,2452.317351586403,49.52087793634522,36.01069712412752,0.06302440729895942,0.5802469135802469
1085,62 days 00:00:00.000000000,2470.2274136690226,49.701382412051906,36.27277809072552,0.0634792802260642,0.5761316872427984
1086,63 days 00:00:00.000000000,2480.026276871396,49.799862217393695,36.3570064578418,0.06360202236175858,0.5761316872427984
1437,63 days 00:00:00.000000000,2529.3735850246408,50.292878074580706,36.79823724232182,0.06419328626724076,0.5720164609053497
41,63 days 00:00:00.000000000,2539.5357451064733,50.39380661456796,36.96469739613913,0.06466161752152154,0.5679012345679012
738,63 days 00:00:00.000000000,2535.900847989158,50.35772878108342,36.869152072027525,0.06454077161709526,0.5679012345679012
390,63 days 00:00:00.000000000,2540.8803955380117,50.407146274491794,36.98686231241911,0.06479846143753372,0.5637860082304527
1783,63 days 00:00:00.000000000,2480.7242735694986,49.80686974273226,36.58037271905247,0.06393636987547346,0.5679012345679012
2133,63 days 00:00:00.000000000,2481.584670679313,49.81550632764173,36.63708198262259,0.06400127986962448,0.5679012345679012
1438,64 days 00:00:00.000000000,2526.8151974656585,50.267436750501396,36.976043071423646,0.06446560155384357,0.5637860082304527
42,64 days 00:00:00.000000000,2536.4332548282982,50.36301475118719,37.13949259156733,0.0649408540326971,0.5596707818930041
739,64 days 00:00:00.000000000,2536.4562461846026,50.3632430070245,37.14315307102599,0.06494771155221421,0.5596707818930041
1784,64 days 00:00:00.000000000,2531.8800742109647,50.31779083198074,37.07160039490787,0.0647604986745844,0.5637860082304527
391,64 days 00:00:00.000000000,2536.035267902869,50.359063413678264,37.196184188831914,0.06500895367995714,0.5596707818930041
2134,64 days 00:00:00.000000000,2470.9586609693315,49.70873827577332,36.74775151439471,0.06406162103334959,0.5637860082304527
1087,64 days 00:00:00.000000000,2495.9494233863775,49.95947781338769,37.061707399329975,0.064623253915028,0.5596707818930041
2135,65 days 00:00:00.000000000,2496.7826206600485,49.96781584840434,37.10887393666576,0.06467409330302612,0.5596707818930041
1439,65 days 00:00:00.000000000,2551.2411705403015,50.50981261636497,37.47661799107032,0.0651685529704997,0.5555555555555556
392,65 days 00:00:00.000000000,2553.4999127574206,50.532167109252505,37.50318149191117,0.0652307775333751,0.5555555555555556
1088,65 days 00:00:00.000000000,2579.671754015611,50.79046912576818,37.7959897214377,0.0657850520200977,0.551440329218107
43,65 days 00:00:00.000000000,2589.19104284772,50.88409420288151,37.96492528384977,0.0662507108405101,0.5473251028806584
740,65 days 00:00:00.000000000,2589.047100632692,50.88267977055348,37.95289496759199,0.0662121800606301,0.5473251028806584
1785,65 days 00:00:00.000000000,2540.596296586698,50.404328153311376,37.61677531757481,0.06548830219978681,0.551440329218107
44,66 days 00:00:00.000000000,2551.55916646745,50.51296038114822,37.795178813702066,0.06599417946531952,0.5473251028806584
2136,66 days 00:00:00.000000000,2551.958054081142,50.516908595846814,37.82582813160448,0.06601242488555278,0.5473251028806584
1089,66 days 00:00:00.000000000,2569.242009190286,50.687690904106944,37.9618906715549,0.06624102731299025,0.5473251028806584
393,66 days 00:00:00.000000000,2573.6723743495654,50.73137465464114,38.02454943735932,0.0664290662095925,0.5432098765432098
1786,66 days 00:00:00.000000000,2586.4674175492923,50.85732412887344,38.2123392675204,0.06662639356242078,0.5390946502057613
1440,66 days 00:00:00.000000000,2652.416097380814,51.50161257068378,38.7093457725007,0.06725464362131212,0.5349794238683128
1787,69 days 00:00:00.000000000,2621.583489639504,51.20140124683605,38.49448855058072,0.06674543142480151,0.5349794238683128
1090,69 days 00:00:00.000000000,2647.2622117932992,51.45155208342406,38.733733950420245,0.06722610812362316,0.5308641975308642
394,69 days 00:00:00.000000000,2651.7084450355405,51.494741916389295,38.84465458610784,0.06745512649311282,0.5267489711934157
1441,69 days 00:00:00.000000000,2719.860030323245,52.152277326337774,39.20290439416215,0.06779895469062407,0.5267489711934157
2137,69 days 00:00:00.000000000,2719.541271515744,52.1492211975955,39.18718142853388,0.06777973259299626,0.5267489711934157
741,69 days 00:00:00.000000000,2684.685488647837,51.8139507145309,38.834482687534496,0.06711729415085514,0.5308641975308642
1788,70 days 00:00:00.000000000,2695.908836794994,51.922142066704005,39.01181242575294,0.06730738025244724,0.5267489711934157
1091,70 days 00:00:00.000000000,2721.63173215185,52.169260414077655,39.25650371972457,0.06779344307869366,0.522633744855967
2138,70 days 00:00:00.000000000,2721.6288725552467,52.16923300715899,39.25631398267909,0.06774147833723358,0.522633744855967
742,70 days 00:00:00.000000000,2710.6703622896216,52.064098592884726,39.09155347395468,0.06741213001492483,0.5267489711934157
45,70 days 00:00:00.000000000,2720.287760217836,52.15637794381274,39.19786788463876,0.06780687733233265,0.522633744855967
1442,70 days 00:00:00.000000000,2790.975540180938,52.82968427106997,39.65085147651943,0.0684030127841738,0.5185185185185185
395,70 days 00:00:00.000000000,2754.709140754043,52.485323098501006,39.3818067648439,0.0679036997842602,0.5185185185185185
2139,71 days 00:00:00.000000000,2753.4592720886767,52.47341490782429,39.325112702698505,0.0678354513512664,0.5185185185185185
1789,71 days 00:00:00.000000000,2758.0235466685845,52.5168882043537,39.37559087072314,0.0678591378614455,0.5185185185185185
743,71 days 00:00:00.000000000,2752.0032290154923,52.45953897067236,39.281441828442404,0.0676686933342448,0.522633744855967
1443,71 days 00:00:00.000000000,2819.526396385137,53.09921276615254,39.75991343238306,0.06826093155897428,0.5185185185185185
396,71 days 00:00:00.000000000,2820.1343232612453,53.104936901019336,39.76715901898906,0.068284039405221,0.5185185185185185
46,71 days 00:00:00.000000000,2835.0128953625313,53.24483914298673,39.95320600364375,0.06884158208328792,0.51440329218107
1092,71 days 00:00:00.000000000,2863.003458346681,53.507041203440515,40.28757047111213,0.06944514135167379,0.5102880658436214
744,72 days 00:00:00.000000000,2856.1356138306137,53.44282565350202,40.19739346760782,0.06933264500534668,0.51440329218107
1093,72 days 00:00:00.000000000,2879.945124179118,53.665120182285236,40.47022146277608,0.069802856694596,0.5102880658436214
47,72 days 00:00:00.000000000,2891.6702569437803,53.77425273254646,40.60900214467525,0.07027115192202668,0.5061728395061729
1790,72 days 00:00:00.000000000,2857.1729670319282,53.45253003396498,40.39737720889697,0.06971983336155128,0.5061728395061729
2140,72 days 00:00:00.000000000,2857.1882879120603,53.45267334672851,40.39949963338507,0.0697008929016223,0.5061728395061729
397,72 days 00:00:00.000000000,2862.3267614303318,53.500717391735336,40.49871760128632,0.06987867238637664,0.5020576131687243
398,73 days 00:00:00.000000000,2810.1587337406086,53.01093032328907,40.16862836691669,0.06922647117582952,0.5020576131687243
1094,73 days 00:00:00.000000000,2828.5240646057105,53.18387034247988,40.338441416891065,0.06952113982074776,0.5020576131687243
48,73 days 00:00:00.000000000,2836.747129540283,53.261122120551335,40.42030231638769,0.06988634474937373,0.5020576131687243
745,73 days 00:00:00.000000000,2837.3248687268383,53.26654549270901,40.43458384354424,0.06995357313480569,0.5020576131687243
1444,73 days 00:00:00.000000000,2902.6492934050107,53.87624052775964,40.87422893656857,0.0705355862770648,0.49794238683127573
1791,73 days 00:00:00.000000000,2863.205374829103,53.50892799177632,40.64370993324502,0.06993071725000206,0.49794238683127573
49,76 days 00:00:00.000000000,2876.935139080622,53.63706870328227,40.79306356885697,0.07038234709859074,0.49794238683127573
1445,76 days 00:00:00.000000000,2942.885585895858,54.2483694307567,41.25617695904301,0.070996161441571,0.49382716049382713
1792,76 days 00:00:00.000000000,2955.1148487959385,54.36096806345467,41.37223864018758,0.07109952846880406,0.49382716049382713
2141,76 days 00:00:00.000000000,2954.219135962231,54.35272887318751,41.333651466543074,0.07105302379373436,0.49382716049382713
1095,76 days 00:00:00.000000000,2978.015293463205,54.57119472270334,41.60316787560045,0.07151517570137055,0.4897119341563786
746,76 days 00:00:00.000000000,2978.545076931408,54.57604856465341,41.63313787662964,0.07154478210028128,0.4897119341563786
399,76 days 00:00:00.000000000,2946.316974921295,54.2799868728917,41.39494172337129,0.07110399504861459,0.4897119341563786
2142,77 days 00:00:00.000000000,2946.5429550538656,54.282068448557354,41.402455930924646,0.07111218541272268,0.4897119341563786
1793,77 days 00:00:00.000000000,2957.9445463319953,54.38698875955531,41.51008299302742,0.07120447403712929,0.4897119341563786
1446,77 days 00:00:00.000000000,3022.179063031456,54.974349136951645,41.991124666374425,0.07180045997922148,0.48559670781893005
400,77 days 00:00:00.000000000,3026.591346583479,55.01446488500528,42.10317921796383,0.07203506893149059,0.48148148148148145
50,77 days 00:00:00.000000000,3041.8515422728533,55.152983076827795,42.3168240367076,0.07258751540054241,0.4773662551440329
1096,77 days 00:00:00.000000000,3064.809370281075,55.36072046389096,42.58994841915096,0.07304113793731858,0.4732510288065844
747,77 days 00:00:00.000000000,3065.06472769802,55.36302672089036,42.60649473028623,0.07307622908026079,0.4732510288065844
748,78 days 00:00:00.000000000,3064.388765816613,55.356921570988874,42.57809857197335,0.07305918477587056,0.4732510288065844
2143,78 days 00:00:00.000000000,3024.8040717270865,54.99821880504028,42.25104577718118,0.07237533478171251,0.4773662551440329
401,78 days 00:00:00.000000000,3023.4270000618417,54.98569814107885,42.23291781252596,0.07240721001944596,0.4773662551440329
1794,78 days 00:00:00.000000000,3041.135175450594,55.14648833289926,42.432892424693065,0.0726185768263909,0.4732510288065844
51,78 days 00:00:00.000000000,3056.7830108558123,55.2881814753914,42.668778483994195,0.07322091429230801,0.4691358024691358
1097,78 days 00:00:00.000000000,3075.366614071898,55.45598808128747,42.89885980118052,0.07362548478372292,0.46502057613168724
1447,78 days 00:00:00.000000000,3163.0560599920414,56.24105315507562,43.47210247335129,0.07433027105064013,0.4609053497942387
1448,79 days 00:00:00.000000000,3205.156367225195,56.61410042758955,43.64627833438433,0.07431377873892546,0.4609053497942387
